Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
6.0579	caller	0	102	LastDelay	0.00401833	4018.33	1	2
6.0579	caller	0	102	FullDelay	5.00215	5.00215e+06	2	2
6.07473	caller	0	103	LastDelay	0.00401833	4018.33	1	2
6.07473	caller	0	103	FullDelay	5.00762	5.00762e+06	2	2
6.09131	caller	0	104	LastDelay	0.00401833	4018.33	1	2
6.09131	caller	0	104	FullDelay	5.02038	5.02038e+06	2	2
6.10136	caller	0	105	LastDelay	0.00401833	4018.33	1	2
6.10136	caller	0	105	FullDelay	5.01184	5.01184e+06	2	2
6.10433	caller	0	106	LastDelay	0.00401833	4018.33	1	2
6.10433	caller	0	106	FullDelay	5.01304	5.01304e+06	2	2
6.1057	caller	0	107	LastDelay	0.00401833	4018.33	1	2
6.1057	caller	0	107	FullDelay	5.00196	5.00196e+06	2	2
6.12444	caller	0	108	LastDelay	0.00401833	4018.33	1	2
6.12444	caller	0	108	FullDelay	5.00413	5.00413e+06	2	2
6.13553	caller	0	109	LastDelay	0.00401833	4018.33	1	2
6.13553	caller	0	109	FullDelay	5.00624	5.00624e+06	2	2
6.13919	caller	0	110	LastDelay	0.00401833	4018.33	1	2
6.13919	caller	0	110	FullDelay	5.00723	5.00723e+06	2	2
6.15909	caller	0	111	LastDelay	0.00401833	4018.33	1	2
6.15909	caller	0	111	FullDelay	5.02417	5.02417e+06	2	2
6.17258	caller	0	112	LastDelay	0.00401833	4018.33	1	2
6.17258	caller	0	112	FullDelay	5.01903	5.01903e+06	2	2
6.18103	caller	0	113	LastDelay	0.00401833	4018.33	1	2
6.18103	caller	0	113	FullDelay	5.01071	5.01071e+06	2	2
6.19055	caller	0	114	LastDelay	0.00401833	4018.33	1	2
6.19055	caller	0	114	FullDelay	5.00881	5.00881e+06	2	2
6.21034	caller	0	115	LastDelay	0.00401833	4018.33	1	2
6.21034	caller	0	115	FullDelay	5.02336	5.02336e+06	2	2
6.22446	caller	0	116	LastDelay	0.00401833	4018.33	1	2
6.22446	caller	0	116	FullDelay	5.02192	5.02192e+06	2	2
6.23212	caller	0	117	LastDelay	0.00401833	4018.33	1	2
6.23212	caller	0	117	FullDelay	5.02176	5.02176e+06	2	2
6.24968	caller	0	118	LastDelay	0.00401833	4018.33	1	2
6.24968	caller	0	118	FullDelay	5.03784	5.03784e+06	2	2
6.25895	caller	0	119	LastDelay	0.00401833	4018.33	1	2
6.25895	caller	0	119	FullDelay	5.04178	5.04178e+06	2	2
6.27612	caller	0	120	LastDelay	0.00401833	4018.33	1	2
6.27612	caller	0	120	FullDelay	5.05029	5.05029e+06	2	2
6.2859	caller	0	121	LastDelay	0.00401833	4018.33	1	2
6.2859	caller	0	121	FullDelay	5.04071	5.04071e+06	2	2
6.28843	caller	0	122	LastDelay	0.00401833	4018.33	1	2
6.28843	caller	0	122	FullDelay	5.03306	5.03306e+06	2	2
6.29977	caller	0	123	LastDelay	0.00401833	4018.33	1	2
6.29977	caller	0	123	FullDelay	5.02559	5.02559e+06	2	2
6.31029	caller	0	124	LastDelay	0.00401833	4018.33	1	2
6.31029	caller	0	124	FullDelay	5.03103	5.03103e+06	2	2
6.31418	caller	0	125	LastDelay	0.00401833	4018.33	1	2
6.31418	caller	0	125	FullDelay	5.01632	5.01632e+06	2	2
6.33377	caller	0	126	LastDelay	0.00401833	4018.33	1	2
6.33377	caller	0	126	FullDelay	5.02977	5.02977e+06	2	2
6.34308	caller	0	127	LastDelay	0.00401833	4018.33	1	2
6.34308	caller	0	127	FullDelay	5.03779	5.03779e+06	2	2
6.36039	caller	0	128	LastDelay	0.00401833	4018.33	1	2
6.36039	caller	0	128	FullDelay	5.04027	5.04027e+06	2	2
6.37089	caller	0	129	LastDelay	0.00401833	4018.33	1	2
6.37089	caller	0	129	FullDelay	5.03536	5.03536e+06	2	2
6.37556	caller	0	130	LastDelay	0.00401833	4018.33	1	2
6.37556	caller	0	130	FullDelay	5.03428	5.03428e+06	2	2
6.38986	caller	0	131	LastDelay	0.00401833	4018.33	1	2
6.38986	caller	0	131	FullDelay	5.04348	5.04348e+06	2	2
6.40244	caller	0	132	LastDelay	0.00401833	4018.33	1	2
6.40244	caller	0	132	FullDelay	5.05548	5.05548e+06	2	2
6.41009	caller	0	133	LastDelay	0.00401833	4018.33	1	2
6.41009	caller	0	133	FullDelay	5.05427	5.05427e+06	2	2
6.42836	caller	0	134	LastDelay	0.00401833	4018.33	1	2
6.42836	caller	0	134	FullDelay	5.06357	5.06357e+06	2	2
6.44204	caller	0	135	LastDelay	0.00401833	4018.33	1	2
6.44204	caller	0	135	FullDelay	5.05727	5.05727e+06	2	2
6.44926	caller	0	136	LastDelay	0.00401833	4018.33	1	2
6.44926	caller	0	136	FullDelay	5.04496	5.04496e+06	2	2
6.46217	caller	0	137	LastDelay	0.00401833	4018.33	1	2
6.46217	caller	0	137	FullDelay	5.04242	5.04242e+06	2	2
6.47715	caller	0	138	LastDelay	0.00401833	4018.33	1	2
6.47715	caller	0	138	FullDelay	5.03761	5.03761e+06	2	2
6.48403	caller	0	139	LastDelay	0.00401833	4018.33	1	2
6.48403	caller	0	139	FullDelay	5.04185	5.04185e+06	2	2
6.48809	caller	0	140	LastDelay	0.00401833	4018.33	1	2
6.48809	caller	0	140	FullDelay	5.04517	5.04517e+06	2	2
6.49042	caller	0	141	LastDelay	0.00401833	4018.33	1	2
6.49042	caller	0	141	FullDelay	5.04664	5.04664e+06	2	2
6.50693	caller	0	142	LastDelay	0.00401833	4018.33	1	2
6.50693	caller	0	142	FullDelay	5.04501	5.04501e+06	2	2
6.5212	caller	0	143	LastDelay	0.00401833	4018.33	1	2
6.5212	caller	0	143	FullDelay	5.04675	5.04675e+06	2	2
6.52163	caller	0	144	LastDelay	0.00401833	4018.33	1	2
6.52163	caller	0	144	FullDelay	5.03264	5.03264e+06	2	2
6.53965	caller	0	145	LastDelay	0.00401833	4018.33	1	2
6.53965	caller	0	145	FullDelay	5.04722	5.04722e+06	2	2
6.54897	caller	0	146	LastDelay	0.00401833	4018.33	1	2
6.54897	caller	0	146	FullDelay	5.05412	5.05412e+06	2	2
6.55256	caller	0	147	LastDelay	0.00401833	4018.33	1	2
6.55256	caller	0	147	FullDelay	5.04921	5.04921e+06	2	2
6.553	caller	0	148	LastDelay	0.00401833	4018.33	1	2
6.553	caller	0	148	FullDelay	5.04785	5.04785e+06	2	2
6.56123	caller	0	149	LastDelay	0.00401833	4018.33	1	2
6.56123	caller	0	149	FullDelay	5.04721	5.04721e+06	2	2
6.57824	caller	0	150	LastDelay	0.00401833	4018.33	1	2
6.57824	caller	0	150	FullDelay	5.0544	5.0544e+06	2	2
6.58743	caller	0	151	LastDelay	0.00401833	4018.33	1	2
6.58743	caller	0	151	FullDelay	5.0547	5.0547e+06	2	2
6.60197	caller	0	152	LastDelay	0.00401833	4018.33	1	2
6.60197	caller	0	152	FullDelay	5.05181	5.05181e+06	2	2
6.60947	caller	0	153	LastDelay	0.00401833	4018.33	1	2
6.60947	caller	0	153	FullDelay	5.05484	5.05484e+06	2	2
6.61607	caller	0	154	LastDelay	0.00401833	4018.33	1	2
6.61607	caller	0	154	FullDelay	5.05008	5.05008e+06	2	2
6.6241	caller	0	155	LastDelay	0.00401833	4018.33	1	2
6.6241	caller	0	155	FullDelay	5.04456	5.04456e+06	2	2
6.63667	caller	0	156	LastDelay	0.00401833	4018.33	1	2
6.63667	caller	0	156	FullDelay	5.05105	5.05105e+06	2	2
6.64774	caller	0	157	LastDelay	0.00401833	4018.33	1	2
6.64774	caller	0	157	FullDelay	5.05539	5.05539e+06	2	2
6.65595	caller	0	158	LastDelay	0.00401833	4018.33	1	2
6.65595	caller	0	158	FullDelay	5.0495	5.0495e+06	2	2
6.65819	caller	0	159	LastDelay	0.00401833	4018.33	1	2
6.65819	caller	0	159	FullDelay	5.03174	5.03174e+06	2	2
6.6598	caller	0	160	LastDelay	0.00401833	4018.33	1	2
6.6598	caller	0	160	FullDelay	5.02997	5.02997e+06	2	2
6.67082	caller	0	161	LastDelay	0.00401833	4018.33	1	2
6.67082	caller	0	161	FullDelay	5.02223	5.02223e+06	2	2
6.67907	caller	0	162	LastDelay	0.00401833	4018.33	1	2
6.67907	caller	0	162	FullDelay	5.02385	5.02385e+06	2	2
6.69756	caller	0	163	LastDelay	0.00401833	4018.33	1	2
6.69756	caller	0	163	FullDelay	5.04233	5.04233e+06	2	2
6.71683	caller	0	164	LastDelay	0.00401833	4018.33	1	2
6.71683	caller	0	164	FullDelay	5.04213	5.04213e+06	2	2
6.7264	caller	0	165	LastDelay	0.00401833	4018.33	1	2
6.7264	caller	0	165	FullDelay	5.03925	5.03925e+06	2	2
6.74617	caller	0	166	LastDelay	0.00401833	4018.33	1	2
6.74617	caller	0	166	FullDelay	5.04248	5.04248e+06	2	2
6.74656	caller	0	167	LastDelay	0.00401833	4018.33	1	2
6.74656	caller	0	167	FullDelay	5.02341	5.02341e+06	2	2
6.74693	caller	0	168	LastDelay	0.00401833	4018.33	1	2
6.74693	caller	0	168	FullDelay	5.00552	5.00552e+06	2	2
6.76051	caller	0	169	LastDelay	0.00401833	4018.33	1	2
6.76051	caller	0	169	FullDelay	5.00401	5.00401e+06	2	2
6.76582	caller	0	170	LastDelay	0.00401833	4018.33	1	2
6.76582	caller	0	170	FullDelay	4.99322	4.99322e+06	2	2
6.77212	caller	0	171	LastDelay	0.00401833	4018.33	1	2
6.77212	caller	0	171	FullDelay	4.98967	4.98967e+06	2	2
6.77596	caller	0	172	LastDelay	0.00401833	4018.33	1	2
6.77596	caller	0	172	FullDelay	4.9743	4.9743e+06	2	2
6.79381	caller	0	173	LastDelay	0.00401833	4018.33	1	2
6.79381	caller	0	173	FullDelay	4.97567	4.97567e+06	2	2
6.80771	caller	0	174	LastDelay	0.00401833	4018.33	1	2
6.80771	caller	0	174	FullDelay	4.97974	4.97974e+06	2	2
6.80933	caller	0	175	LastDelay	0.00401833	4018.33	1	2
6.80933	caller	0	175	FullDelay	4.96508	4.96508e+06	2	2
6.82837	caller	0	176	LastDelay	0.00401833	4018.33	1	2
6.82837	caller	0	176	FullDelay	4.97352	4.97352e+06	2	2
6.84557	caller	0	177	LastDelay	0.00401833	4018.33	1	2
6.84557	caller	0	177	FullDelay	4.97807	4.97807e+06	2	2
6.85812	caller	0	178	LastDelay	0.00401833	4018.33	1	2
6.85812	caller	0	178	FullDelay	4.98537	4.98537e+06	2	2
6.87488	caller	0	179	LastDelay	0.00401833	4018.33	1	2
6.87488	caller	0	179	FullDelay	4.99164	4.99164e+06	2	2
6.88711	caller	0	180	LastDelay	0.00401833	4018.33	1	2
6.88711	caller	0	180	FullDelay	4.99368	4.99368e+06	2	2
6.89683	caller	0	181	LastDelay	0.00401833	4018.33	1	2
6.89683	caller	0	181	FullDelay	4.98884	4.98884e+06	2	2
6.89794	caller	0	182	LastDelay	0.00401833	4018.33	1	2
6.89794	caller	0	182	FullDelay	4.97292	4.97292e+06	2	2
6.91191	caller	0	183	LastDelay	0.00401833	4018.33	1	2
6.91191	caller	0	183	FullDelay	4.97774	4.97774e+06	2	2
6.91864	caller	0	184	LastDelay	0.00401833	4018.33	1	2
